taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
11636567	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10703881			WVXP01						order			accepted			Bacteria	Desulfobacterota	BSN033	WVXP01		
10729196	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10786246			Adiutricales		Adiutricales	Adiutricales			order			accepted			Bacteria	Desulfobacterota	Desulfarculia	Adiutricales		
653	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10786246			Desulfarculales		Desulfarculales	Desulfarculales			order			accepted			Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales		
10696170	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10819244			Desulfobulbales		Desulfobulbales	Desulfobulbales			order			accepted			Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales		
10678054	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10837405			Desulfobaccales		Desulfobaccales	Desulfobaccales			order			accepted			Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales		
10685297	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			PEZQ01						order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	PEZQ01		
10814690	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			Pacearchaeales		Pacearchaeales	Pacearchaeales			order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales		
10864153	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			CSSed11-243R1						order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	CSSed11-243R1		
10763219	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			B33-G15						order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	B33-G15		
10846076	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			UBA10117						order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	UBA10117		
10797252	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			Parvarchaeales		Parvarchaeales	Parvarchaeales			order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	Parvarchaeales		
11786237	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			WJKC01						order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	WJKC01		
10868249	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			Nanoarchaeales		Nanoarchaeales	Nanoarchaeales			order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	Nanoarchaeales		
11622593	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			Tiddalikarchaeales		Tiddalikarchaeales	Tiddalikarchaeales			order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	Tiddalikarchaeales		
10848299	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			Woesearchaeales		Woesearchaeales	Woesearchaeales			order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales		
11158910	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10809188			DTBS01						order			accepted			Archaea	Nanoarchaeota	Nanoarchaeia	DTBS01		
471	7ddf754f-d193-4cc9-b351-99906754a03b	255			Branchiobdellida		Branchiobdellida	Branchiobdellida			order			accepted			Animalia	Annelida	Clitellata	Branchiobdellida		
1076	7ddf754f-d193-4cc9-b351-99906754a03b	255			Acanthobdellida		Acanthobdellida	Acanthobdellida			order			accepted			Animalia	Annelida	Clitellata	Acanthobdellida		
